Date,Open,High,Low,Close,Volume,Turnover
2011/1/4,61.55,61.6,61.3,61.3,11093,681759
2011/1/5,61.1,61.35,59.9,60.3,20764,1255031
2011/1/6,60.25,60.3,59.95,60.2,6884,413507
2011/1/7,60.25,60.35,59.4,59.65,12301,735134
2011/1/10,59.75,59.9,59.55,59.85,4242,253246
2011/1/11,59.7,61,59.7,60.85,12746,771066
2011/1/12,61,61.25,60.9,61.1,5713,348896
2011/1/13,61.25,61.4,60.8,61.05,10157,621141
2011/1/14,60.95,61.1,60.8,61,7318,446642
2011/1/17,61.15,61.25,60.7,60.85,5094,310234
2011/1/18,60.55,61.55,60.5,61.35,9691,592468
2011/1/19,61.35,62.15,61.35,62.05,15346,948522
2011/1/20,62,62,61.6,61.65,5217,321862
2011/1/21,61.1,61.45,60.55,61,11628,708962
2011/1/24,61,61.2,60.9,60.95,17732,1081664
2011/1/25,61.45,61.7,61.4,61.45,18634,1147595
2011/1/26,61.45,62.1,61.45,62,20931,1294265
2011/1/27,62.05,62.7,62.05,62.45,17157,1071020
2011/1/28,62.5,63,62.45,63,11849,743247
2011/2/8,63.05,63.2,62.4,62.6,11116,697463
2011/2/9,62.5,62.6,61.7,62,12233,758615
2011/2/10,61.6,61.6,60.75,60.85,22906,1397844
2011/2/11,60.4,60.4,58.5,58.9,43872,2616283
2011/2/14,59.05,59.65,59.05,59.4,11080,657605
2011/2/15,59.4,59.9,58.65,59.75,9825,584164
2011/2/16,59.8,60.1,59.6,59.85,20566,1232166
2011/2/17,59.75,59.8,59.4,59.65,6957,414980
2011/2/18,60,60.85,59.95,60.65,9832,594818
2011/2/21,60.4,60.8,60.15,60.65,14830,898301
2011/2/22,60.3,60.3,59.3,59.85,31461,1872708
2011/2/23,59.45,59.7,58.8,59,28150,1669981
2011/2/24,59,59.55,59,59,28689,1699444
2011/2/25,59.3,59.65,58.45,59.5,34453,2033280
2011/3/1,59.7,60.05,59.5,59.95,8004,478921
2011/3/2,59.45,59.9,59.4,59.45,22951,1369551
2011/3/3,59.55,60.3,59.5,60.2,28035,1677338
2011/3/4,60.5,60.7,60.4,60.65,12109,733065
2011/3/7,60.5,60.5,60,60.2,14595,877236
2011/3/8,60.05,60.4,60.05,60.25,2591,156203
2011/3/9,60.55,60.65,60,60.2,11164,672708
2011/3/10,60.15,60.25,59.3,59.5,8148,485402
2011/3/11,59.05,59.05,58.4,58.85,22485,1319230
2011/3/14,58.6,58.9,57.65,58.8,28009,1633886
2011/3/15,58.7,58.7,55.6,57.5,62123,3543816
2011/3/16,58,58.05,57.25,57.3,20894,1202366
2011/3/17,56.8,57.3,56.5,57.3,20326,1156135
2011/3/18,57.7,57.8,57.35,57.75,13046,751748
2011/3/21,57.9,58.5,57.8,58.1,18789,1093703
2011/3/22,58.5,58.7,58.35,58.4,17030,996810
2011/3/23,58.4,58.65,58.15,58.5,13061,763909
2011/3/24,58.85,59,58.55,58.75,13113,771550
2011/3/25,59.05,59.65,59.05,59.35,12812,759378
2011/3/28,59.25,59.3,58.85,59.15,6845,404102
2011/3/29,58.9,59.3,58.75,59.25,5978,353260
2011/3/30,59.4,59.8,59.25,59.6,11142,663979
2011/3/31,59.5,59.7,59.1,59.55,8065,479324
2011/4/1,59.6,59.85,59.6,59.85,9617,574322
2011/4/6,60,61.4,60,61.15,30708,1869610
2011/4/7,61.35,61.4,60.95,61.3,20231,1236839
2011/4/8,61.25,61.5,61,61.1,11890,728184
2011/4/11,61.1,61.2,60.75,61.1,16414,999424
2011/4/12,60.8,60.8,59.85,60.05,14750,887467
2011/4/13,59.9,60.4,59.75,60.4,9152,549444
2011/4/14,60.45,60.7,60.05,60.35,5749,346819
2011/4/15,60.4,60.45,59.6,59.65,3910,234240
2011/4/18,59.75,59.95,59.45,59.55,5205,310862
2011/4/19,59.35,59.35,58.8,59.2,14046,828487
2011/4/20,59.5,60.35,59.5,60.3,11997,720350
2011/4/21,60.95,61.8,60.95,61.7,34319,2109854
2011/4/22,61.8,61.8,61.45,61.6,22106,1360632
2011/4/25,61.9,62,61.25,61.45,26925,1655178
2011/4/26,60.9,61.35,60.7,61.2,23838,1453700
2011/4/27,61.75,62.25,61.75,62.15,46503,2886914
2011/4/28,62.25,62.5,62,62.15,30767,1914440
2011/4/29,62,62.4,61.65,62,50488,3134707
2011/5/3,62.2,62.3,61.5,62.15,26662,1648531
2011/5/4,61.6,61.8,61.1,61.8,19730,1212549
2011/5/5,61.4,62.35,61.3,62.25,22314,1383076
2011/5/6,61.9,62.05,61.65,61.95,24043,1488028
2011/5/9,62.1,62.6,61.9,62.3,15562,970801
2011/5/10,62.3,62.3,62.05,62.3,8415,523328
2011/5/11,62.5,62.5,61.95,62.05,9691,602825
2011/5/12,61.7,62.4,61.55,62.25,17884,1106476
2011/5/13,62.25,62.25,61.9,62.05,7629,473374
2011/5/16,61.95,61.95,61.25,61.3,16445,1012125
2011/5/17,61.2,61.45,60.95,61.25,16744,1023691
2011/5/18,61.2,61.6,61.15,61.6,5865,359579
2011/5/19,61.6,62.1,61.05,61.05,17154,1057116
2011/5/20,61.25,61.5,60.9,61.1,15265,934690
2011/5/23,60.8,60.8,60,60.35,38595,2327333
2011/5/24,60.3,60.45,60.05,60.45,26104,1573208
2011/5/25,60.1,60.4,59.8,60.25,22810,1369586
2011/5/26,60.35,60.85,60.2,60.85,7274,439654
2011/5/27,60.65,61,60.5,60.6,11666,708465
2011/5/30,60.4,60.75,60,60.5,10602,640954
2011/5/31,60.8,62,60.8,62,10825,665428
2011/6/1,62,62.45,61.85,62.35,26709,1662146
2011/6/2,62,62.15,61.8,61.9,18610,1153779
2011/6/3,62,62.25,61.75,62.2,14877,923388
2011/6/7,61.9,62.25,61.55,62.2,10968,678820
2011/6/8,62.05,62.25,61.85,62,14003,869599
2011/6/9,61.8,62.1,61.8,62,8666,537319
2011/6/10,62.15,62.2,60.5,60.55,27188,1664895
2011/6/13,60.25,60.25,59.6,59.75,21850,1309107
2011/6/14,60,60.75,59.8,60.75,11523,695093
2011/6/15,60.7,60.7,59.8,60.5,11156,670740
2011/6/16,59.9,59.9,59.3,59.4,23032,1370265
2011/6/17,59.6,59.7,59,59.2,20766,1230364
2011/6/20,59.4,59.5,58.55,58.6,21507,1267010
2011/6/21,59,59.2,58.65,59.05,15220,896564
2011/6/22,59.5,59.5,58.8,59.2,11737,694121
2011/6/23,58.95,59.1,58.6,58.65,15138,889061
2011/6/24,58.7,58.7,58,58.2,27219,1582931
2011/6/27,57.5,57.85,57.2,57.8,27066,1553984
2011/6/28,58.05,58.15,57.5,57.65,11858,686234
2011/6/29,58,58.75,57.9,58.65,16311,952014
2011/6/30,58.8,59,58.55,58.85,8335,490030
2011/7/1,59.2,59.8,59.2,59.7,13965,831822
2011/7/4,59.9,60.2,59.9,60.05,18909,1135645
2011/7/5,60,60.1,59.75,59.95,12622,756315
2011/7/6,60,60.7,60,60.6,13485,816467
2011/7/7,60.7,60.7,60.15,60.35,11109,669904
